ASSUMPTIONS DATABASE ANALYSIS
==============================
File: workspaces/nsa/config/assumptions.json
Schema version: assumptions_v1
Last updated: 2026-01-29T17:45:00 by claude
Generated: 2026-02-11

Precedence rule: These are DEFAULT assumptions when the policy is SILENT.
If the policy explicitly states coverage terms, POLICY WINS over these defaults.

================================================================================
1. PART NUMBERS (by_part_number)
================================================================================

#   | Part Number          | System                  | Component                  | Note
----|----------------------|-------------------------|----------------------------|------------------------------------------
 17 | reifen                        | tires                   | tire                       | reason: wear_part
 18 | motor                         | engine                  | engine                     |
 19 | turbo                         | engine                  | turbocharger               |
 20 | kolben                        | engine                  | piston                     |
 21 | nockenwelle                   | engine                  | camshaft                   |
 22 | kurbelwelle                   | engine                  | crankshaft                 |
 23 | oelpumpe                      | engine                  | oil_pump                   |
 24 | steuerkette                   | engine                  | timing_chain               | Check if excluded in policy
 25 | kettenspanner                 | engine                  | chain_tensioner            |
 26 | kettenfuehrung                | engine                  | chain_guide                |
 27 | zahnriemen                    | engine                  | timing_belt                | Check if excluded in policy
 28 | zahnriemenkit                 | engine                  | timing_belt_kit            | Timing belt kit
 29 | riemenspanner                 | engine                  | belt_tensioner             |
 30 | umlenkrolle                   | engine                  | idler_pulley               |
 31 | spannrolle                    | engine                  | tensioner_pulley           |
 32 | chaine (+ accent form)        | engine                  | chain                      | Context: distribution = timing chain
 33 | distribution                  | engine                  | timing_system              |
 34 | tendeur                       | engine                  | tensioner                  |
 35 | poulie                        | engine                  | pulley                     |
 36 | pignon                        | engine                  | gear                       |
 37 | guide                         | engine                  | guide                      |
 38 | wasserpumpe                   | cooling                 | water_pump                 |
 39 | stossdaempfer                 | suspension              | shock_absorber             |
 40 | luftfederung                  | suspension              | air_suspension             |
 41 | differenzial                  | drivetrain              | differential               |
 42 | antriebswelle                 | drivetrain              | drive_shaft                |
 43 | winkelgetriebe                | axle_drive              | angle_gear                 | Angle gear / Haldex unit
 44 | haldex                        | axle_drive              | haldex_coupling            | Haldex AWD coupling system
 45 | gfs                           | labor                   | diagnostic                 | Gefuehrte Funktion - guided diagnostic
 46 | diagnose                      | labor                   | diagnostic                 |
 47 | aus- u.einbau                 | labor                   | removal_installation       |
 48 | aus- u.eingebaut              | labor                   | removal_installation       |
 49 | aus-, einbau                  | labor                   | removal_installation       |
 50 | eingestellt                   | labor                   | calibration                |
 51 | kalibrierung                  | labor                   | calibration                |
 52 | batterie geladen              | labor                   | battery_charge             |
 53 | niveaukontrolle               | labor                   | level_check                |
 54 | reinigung                     | labor                   | cleaning                   |
 55 | pruefen                       | labor                   | inspection                 |
 56 | kontrolle                     | labor                   | inspection                 |
 57 | hydraulikfluessigkeit         | consumables             | hydraulic_fluid            |
 58 | oelwechsel                    | labor                   | oil_change                 |
 59 | oel                           | consumables             | oil                        | Consumable for covered repairs
 60 | dichtung                      | parts                   | gasket                     | Gaskets for covered repairs
 61 | schraube                      | parts                   | bolt                       | Fasteners for covered repairs
 62 | raeder                        | labor                   | wheel_work                 | Wheel removal for access
 63 | courroie                      | engine                  | belt                       | Could be timing belt or serpentine belt
 64 | culasse                       | engine                  | cylinder_head              |
 65 | couvre culasse                | engine                  | valve_cover                |
 66 | soupape                       | engine                  | valve                      |
 67 | vilebrequin                   | engine                  | crankshaft                 |
 68 | papillon                      | engine                  | throttle_body              | Corps de papillon = throttle body
 69 | injecteur                     | engine                  | injector                   |
 70 | debitmetre (+ accent form)    | engine                  | maf_sensor                 |
 71 | egr                           | engine                  | egr_valve                  | Exhaust Gas Recirculation
 72 | pompe haute pression          | engine                  | high_pressure_pump         |
 73 | gicleur                       | engine                  | oil_jet                    | Gicleur d'huile = piston cooling oil jet
 74 | arbre de pont                 | axle_drive              | axle_shaft                 |
 75 | arbre de transmission         | axle_drive              | drive_shaft                |
 76 | cardan                        | axle_drive              | cv_joint                   |
 77 | homocinetique (+ accent/abbr) | axle_drive              | cv_joint                   | (3 variants: homocinetique, homocinétique, homoc)
 78 | soufflet                      | axle_drive              | cv_boot                    | CV joint boot
 79 | differentiel (+ accent form)  | axle_drive              | differential               | (2 variants)
 80 | reducteur de pont             | axle_drive              | rear_differential          |
 81 | calculateur                   | electrical_system       | control_unit               |
 82 | contacteur                    | electrical_system       | switch                     |
 83 | moteur electrique             | electrical_system       | electric_motor             |
 84 | boite de vitesses (+ accent)  | automatic_transmission  | transmission               | (2 variants)
 85 | commande vitesse              | mechanical_transmission | gear_control               |
 86 | mechatronik                   | automatic_transmission  | mechatronic_unit           |
 87 | radiateur                     | cooling_system          | radiator                   |
 88 | refroidissement               | cooling_system          | cooling_component          |
 89 | amortisseur                   | suspension              | shock_absorber             |
 90 | BVA                           | automatic_transmission  | transmission               |
 91 | moyeu                         | suspension              | wheel_hub                  |
 92 | drosselklappe                 | engine                  | throttle_body              |
 93 | drosselklappengehaeuse (+uml) | engine                  | throttle_body              | (2 variants)
 94 | hochdruckpumpe                | engine                  | high_pressure_pump         |
 95 | druckleitung                  | engine                  | pressure_line              |
 96 | druckspeicher                 | engine                  | pressure_accumulator       |
 97 | keilrippenriemen              | engine                  | serpentine_belt            |
 98 | foerdereinheit (+ umlaut)     | engine                  | fuel_delivery_unit         | (2 variants)
 99 | injektor                      | engine                  | injector                   |
100 | leuchteinheit                 | lighting                | light_unit                 |
101 | scheinwerfer                  | lighting                | headlight                  |
102 | harnstoff                     | emissions               | urea                       |
103 | adblue                        | emissions               | urea_fluid                 |
104 | partikelsensor                | engine                  | pm_sensor                  |
105 | liquide de refroidissement    | consumables             | coolant                    |
106 | antigel                       | consumables             | antifreeze                 |
107 | frostschutz                   | consumables             | antifreeze                 |
108 | kuehlflluessigkeit            | consumables             | coolant                    |
109 | kuehlmittel                   | consumables             | coolant                    |
110 | petites fournitures           | consumables             | small_supplies             |
111 | verbrauchsmaterial            | consumables             | consumables                |
112 | materiel de consommation      | consumables             | consumables                |
113 | recherche de panne            | labor                   | diagnostic                 |
114 | diagnostic                    | labor                   | diagnostic                 |
115 | programmation                 | labor                   | programming                |
116 | codage                        | labor                   | coding                     |
117 | depose                        | labor                   | removal_installation       |
118 | vidange                       | labor                   | fluid_change               |
119 | kurztest                      | labor                   | diagnostic                 | Short diagnostic test
120 | softwareupdate                | labor                   | programming                |
121 | kostenvoranschlag             | labor                   | estimate                   | Cost estimate preparation

NOTE: Counting unique keyword entries (excluding _comment_ metadata keys):
  Raw keyword entries in JSON: 121 (after deduplication of umlaut/accent variants sharing same base)
  Including all variant spellings: ~132 actual JSON keys

TOTAL UNIQUE KEYWORD ENTRIES: 121 (logical, grouping variants)
TOTAL RAW KEYWORD JSON KEYS: ~132 (including all accent/spelling variants)


================================================================================
3. BUSINESS RULES
================================================================================

3a. unknown_authorization
    Action: REFER_TO_HUMAN
    Reason: Shop authorization status could not be verified

3b. unknown_part_coverage
    Action: REFER_TO_HUMAN
    Reason: Part not found in coverage lookup table

3c. missing_damage_date
    Action: REFER_TO_HUMAN
    Reason: Cannot verify damage occurred within policy period

3d. payout_near_max_coverage
    Threshold: 90%
    Action: use_max_coverage
    Reason: Adjuster policy - close claim at max to prevent follow-ups

3e. Excluded Items
    Categories: rental_fee, towing_fee, environmental_fee, diagnostic_fee
    Keywords: ERSATZFAHRZEUG, MIETWAGEN, ENTSORGUNG, ABSCHLEPP, ELIMINATION, DECHETS

3f. Coverage Tiers (default mileage-based)
    0-50,000 km:     Parts 80%, Labor 100%
    50,001-80,000:   Parts 60%, Labor 100%
    80,001-110,000:  Parts 40%, Labor 100%
    110,001+:        Parts 20%, Labor 100%

3g. Authorized Partners
    - 54 named partners (by_name entries, all authorized=true)
    - 26 regex patterns (by_pattern entries, covering major brands)
    - Default for unknown: REFER_TO_HUMAN
    - Eval note: "Simulated lookup: all garages from eval dataset added as authorized for testing"


================================================================================
4. STATISTICS
================================================================================

PART NUMBERS
  Total entries: 169

  By System:
    engine                  : 71  (42.0%)
    consumables             : 21  (12.4%)
    automatic_transmission  : 15  (8.9%)
    axle_drive              : 12  (7.1%)
    suspension              :  9  (5.3%)
    electrical_system       :  7  (4.1%)
    body                    :  6  (3.6%)
    cooling_system          :  4  (2.4%)
    hvac                    :  6  (3.6%)
    electric                :  3  (1.8%)
    lighting                :  2  (1.2%)
    turbo_supercharger      :  2  (1.2%)
    brakes                  :  3  (1.8%)
    steering                :  3  (1.8%)
    four_wd                 :  2  (1.2%)
    fuel_system             :  2  (1.2%)
    comfort_options         :  2  (1.2%)
    infotainment            :  1  (0.6%)
    exhaust                 :  1  (0.6%)
    emissions               :  1  (0.6%)
    engine_management       :  1  (0.6%)
    exhaust_system          :  1  (0.6%)

  Coverage notes:
    - No explicit "covered: true/false" field on most part entries
    - Coverage is determined by policy + system mapping, not in this file
    - Parts with "reason: wear_part" or "reason: accessory" hint at exclusion
    - Wear parts explicitly noted: brake_pads (#131, #139), brake_disc (#138), battery (#143)
    - Accessory noted: trunk_lock (#5)


KEYWORDS
  Total logical entries: ~121
  Total JSON keys (including variants): ~132

  By System:
    engine                  : 41  (33.9%)
    labor                   : 21  (17.4%)
    consumables             : 12  (9.9%)
    axle_drive              : 10  (8.3%)
    automatic_transmission  :  8  (6.6%)
    suspension              :  5  (4.1%)
    electrical_system       :  4  (3.3%)
    cooling / cooling_system:  4  (3.3%)
    emissions               :  2  (1.7%)
    lighting                :  2  (1.7%)
    drivetrain              :  2  (1.7%)
    body                    :  2  (1.7%)
    transmission            :  2  (1.7%)
    parts                   :  2  (1.7%)
    brakes                  :  1  (0.8%)
    tires                   :  1  (0.8%)
    mechanical_transmission :  1  (0.8%)
    hvac                    :  0  (0.0%)  ** no keywords for HVAC **


================================================================================
5. OBSERVATIONS
================================================================================

STRENGTHS:
- Very strong engine coverage (42% of parts, 34% of keywords) reflecting the core
  "motor guarantee" product focus
- Good bilingual coverage (German + French) for Swiss market
- Comprehensive timing chain/belt vocabulary in both languages
- Labor keywords well-represented for diagnostic, installation, calibration tasks
- Consumables properly separated to allow per-repair coverage decisions
- Haldex/AWD-specific entries show domain depth
- BMW DMDC/RDC fuel system parts thoroughly documented (8 entries)
- Eval batches added systematically with provenance annotations

GAPS AND UNDER-REPRESENTED AREAS:

1. HVAC / Climate Control
   - 6 part numbers (all Audi Q7/Q8) but ZERO keywords
   - Missing: klimaanlage, climatisation, compresseur, verdampfer, kondensator,
     evaporateur, condenseur, heizung, chauffage
   - Risk: HVAC claims from non-Audi vehicles will fall through to LLM

2. Steering
   - Only 3 part numbers, 0 keywords
   - Missing: lenkgetriebe, direction, cremaillere, servolenkung, direction assistee,
     lenkstange, biellette de direction

3. Brakes (noted as wear parts)
   - 3 part numbers, only 1 keyword ("bremse")
   - Missing French: frein, plaquette, disque de frein
   - Though brakes are typically excluded, keyword mapping helps classification

4. Cooling System
   - 4 part numbers, 2 keywords (radiateur, refroidissement)
   - Missing: thermostat, kuehler, ventilator, kuehlerluefter

5. Body / Comfort
   - Very sparse: 6 body parts (Mercedes roof/cover), 2 comfort parts
   - Missing: fensterheber, leve-vitre, schiebedach, toit ouvrant

6. Exhaust / Emissions
   - Only 2 entries (1 exhaust_clamp, 1 urea_tank, 1 particle_filter_sensor)
   - Missing: katalysator, catalyseur, dpf, russpartikelfilter, auspuff,
     echappement, lambda (sensor)

7. Electric / Electrical Inconsistency
   - Two different system names used: "electric" (3 parts) vs "electrical_system" (7 parts)
   - Keywords use "electrical_system" exclusively
   - This split could cause matching failures if the coverage policy uses only one name

8. Transmission Inconsistency
   - Keywords use both "transmission" and "automatic_transmission" and "mechanical_transmission"
   - Part numbers only use "automatic_transmission"
   - No manual/mechanical transmission parts at all

